"Quốc gia","Tỉnh/Thành phố",Quận/Huyện,"Zip/Postal Code From","Zip/Postal Code To","Trọng lượng From","Trọng lượng To","Shipping Price","Delivery Type"
CHE,*,,,,10501.0000,11000.0000,5244690.0000,"Express Saver"
CHE,*,,,,6501.0000,7000.0000,1778700.0000,"Normal Shipping"
CHE,*,,,,14001.0000,14500.0000,3394050.0000,"Normal Shipping"
CHE,*,,,,2501.0000,3000.0000,2002770.0000,"Express Saver"
CHE,*,,,,10001.0000,10500.0000,5042070.0000,"Express Saver"
CHE,*,,,,6001.0000,6500.0000,1671010.0000,"Normal Shipping"
CHE,*,,,,13501.0000,14000.0000,3286360.0000,"Normal Shipping"
CHE,*,,,,2001.0000,2500.0000,1800150.0000,"Express Saver"
CHE,*,,,,5501.0000,6000.0000,1563320.0000,"Normal Shipping"
CHE,*,,,,9501.0000,10000.0000,4839450.0000,"Express Saver"
CHE,*,,,,13001.0000,13500.0000,3178670.0000,"Normal Shipping"
CHE,*,,,,1501.0000,2000.0000,1597530.0000,"Express Saver"
CUB,*,,,,3001.0000,3500.0000,1533070.0000,"Normal Shipping"
CUB,*,,,,10501.0000,11000.0000,4262170.0000,"Normal Shipping"
CUB,*,,,,2001.0000,2500.0000,1169190.0000,"Normal Shipping"
CUB,*,,,,9501.0000,10000.0000,3898290.0000,"Normal Shipping"
CUB,*,,,,1001.0000,1500.0000,805310.0000,"Normal Shipping"
CUB,*,,,,8501.0000,9000.0000,3534410.0000,"Normal Shipping"
CUB,*,,,,0.0000,500.0000,441430.0000,"Normal Shipping"
CUB,*,,,,7501.0000,8000.0000,3170530.0000,"Normal Shipping"
CUB,*,,,,15001.0000,15500.0000,5899630.0000,"Normal Shipping"
CUB,*,,,,6501.0000,7000.0000,2806650.0000,"Normal Shipping"
CUB,*,,,,14001.0000,14500.0000,5535750.0000,"Normal Shipping"
CUB,*,,,,5501.0000,6000.0000,2442770.0000,"Normal Shipping"
CUB,*,,,,13001.0000,13500.0000,5171870.0000,"Normal Shipping"
CUB,*,,,,4501.0000,5000.0000,2078890.0000,"Normal Shipping"
CUB,*,,,,12001.0000,12500.0000,4807990.0000,"Normal Shipping"
CUB,*,,,,3501.0000,4000.0000,1715010.0000,"Normal Shipping"
CUB,*,,,,11001.0000,11500.0000,4444110.0000,"Normal Shipping"
CUB,*,,,,2501.0000,3000.0000,1351130.0000,"Normal Shipping"
CUB,*,,,,10001.0000,10500.0000,4080230.0000,"Normal Shipping"
CUB,*,,,,1501.0000,2000.0000,987250.0000,"Normal Shipping"
CUB,*,,,,9001.0000,9500.0000,3716350.0000,"Normal Shipping"
CUB,*,,,,501.0000,1000.0000,623370.0000,"Normal Shipping"
CUB,*,,,,8001.0000,8500.0000,3352470.0000,"Normal Shipping"
CUB,*,,,,7001.0000,7500.0000,2988590.0000,"Normal Shipping"
CUB,*,,,,14501.0000,15000.0000,5717690.0000,"Normal Shipping"
CUB,*,,,,6001.0000,6500.0000,2624710.0000,"Normal Shipping"
CUB,*,,,,13501.0000,14000.0000,5353810.0000,"Normal Shipping"
CUB,*,,,,5001.0000,5500.0000,2260830.0000,"Normal Shipping"
CUB,*,,,,12501.0000,13000.0000,4989930.0000,"Normal Shipping"
CUB,*,,,,4001.0000,4500.0000,1896950.0000,"Normal Shipping"
CUB,*,,,,11501.0000,12000.0000,4626050.0000,"Normal Shipping"
DEU,*,,,,1501.0000,2000.0000,772970.0000,"Normal Shipping"
DEU,*,,,,9501.0000,10000.0000,2291850.0000,"Normal Shipping"
DEU,*,,,,13501.0000,14000.0000,6460410.0000,"Express Saver"
DEU,*,,,,5501.0000,6000.0000,3218490.0000,"Express Saver"
DEU,*,,,,1001.0000,1500.0000,678040.0000,"Normal Shipping"
DEU,*,,,,9001.0000,9500.0000,2196920.0000,"Normal Shipping"
DEU,*,,,,5001.0000,5500.0000,3015870.0000,"Express Saver"
DEU,*,,,,13001.0000,13500.0000,6257790.0000,"Express Saver"
DEU,*,,,,8501.0000,9000.0000,2101990.0000,"Normal Shipping"
DEU,*,,,,501.0000,1000.0000,583110.0000,"Normal Shipping"
DEU,*,,,,4501.0000,5000.0000,2813250.0000,"Express Saver"
DEU,*,,,,12501.0000,13000.0000,6055170.0000,"Express Saver"
DEU,*,,,,8001.0000,8500.0000,2007060.0000,"Normal Shipping"
DEU,*,,,,0.0000,500.0000,488180.0000,"Normal Shipping"
DEU,*,,,,4001.0000,4500.0000,2610630.0000,"Express Saver"
DEU,*,,,,12001.0000,12500.0000,5852550.0000,"Express Saver"
DEU,*,,,,7501.0000,8000.0000,1912130.0000,"Normal Shipping"
DEU,*,,,,15001.0000,15500.0000,3336080.0000,"Normal Shipping"
DEU,*,,,,3501.0000,4000.0000,2408010.0000,"Express Saver"
DEU,*,,,,11501.0000,12000.0000,5649930.0000,"Express Saver"
DEU,*,,,,7001.0000,7500.0000,1817200.0000,"Normal Shipping"
DEU,*,,,,14501.0000,15000.0000,3241150.0000,"Normal Shipping"
DEU,*,,,,3001.0000,3500.0000,2205390.0000,"Express Saver"
DEU,*,,,,11001.0000,11500.0000,5447310.0000,"Express Saver"
DEU,*,,,,6501.0000,7000.0000,1722270.0000,"Normal Shipping"
DEU,*,,,,2501.0000,3000.0000,2002770.0000,"Express Saver"
DEU,*,,,,10501.0000,11000.0000,5244690.0000,"Express Saver"
DEU,*,,,,14001.0000,14500.0000,3146220.0000,"Normal Shipping"
DEU,*,,,,6001.0000,6500.0000,1627340.0000,"Normal Shipping"
DEU,*,,,,2001.0000,2500.0000,1800150.0000,"Express Saver"
DEU,*,,,,10001.0000,10500.0000,5042070.0000,"Express Saver"
DEU,*,,,,13501.0000,14000.0000,3051290.0000,"Normal Shipping"
DEU,*,,,,5501.0000,6000.0000,1532410.0000,"Normal Shipping"
DEU,*,,,,1501.0000,2000.0000,1597530.0000,"Express Saver"
DEU,*,,,,9501.0000,10000.0000,4839450.0000,"Express Saver"
